cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,difference_profile,difference_member,evidence,literature
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,0,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,1,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,2,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,3,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,0,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,1,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,2,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,4,3,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,5,0,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,5,1,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
GIFT-64,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,68,5,2,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,gift64_shen2024_spn_screen,0,GIFT-64 SPN migration screen for public inverse-permutation aligned input,Shen/Song/Lu/Long/Tian 2024 GIFT neural distinguishers; innovation-one SPN structure alignment
